Index  Player               Team     PTS_Home   PTS_Away   Total PTS 
195    Maceo Baston         IND      14.94      9.63       24.57     
196    Rawle Marshall       IND      4.42       7.49       11.92     
197    Andre Owens          IND      3.03       2.52       5.55      
198    Orien Greene         IND      7.33       4.83       12.16     
199    Courtney Sims        IND      4.25       0.00       4.25      
200    Cuttino Mobley       LAC      16.92      14.00      30.92     
201    Corey Maggette       LAC      14.28      11.16      25.44     
202    Tim Thomas           LAC      5.05       2.81       7.86      
203    Chris Kaman          LAC      11.27      10.33      21.59     
204    Elton Brand          LAC      16.37      14.32      30.69     
205    Quinton Ross         LAC      13.88      13.46      27.34     
206    Brevin Knight        LAC      5.25       7.80       13.05     
207    Ruben Patterson      LAC      10.09      12.26      22.35     
208    Smush Parker         LAC      7.90       6.34       14.24     
209    Sam Cassell          LAC      9.83       8.74       18.57     
210    Al Thornton          LAC      6.55       4.42       10.96     
211    Shaun Livingston     LAC      6.75       6.14       12.89     
212    Daniel Ewing         LAC      9.94       6.94       16.87     
213    Aaron Williams       LAC      3.36       2.63       5.99      
214    Paul Davis           LAC      10.48      6.50       16.98     
215    James Singleton      LAC      18.39      9.77       28.15     
216    Nick Fazekas         LAC      9.37       9.38       18.75     
217    Richie Frahm         LAC      8.77       7.54       16.31     
218    Doug Christie        LAC      5.00       6.29       11.29     
219    Will Conroy          LAC      10.71      0.50       11.21     
220    Andre Barrett        LAC      3.45       6.21       9.66      
221    Yaroslav Korolev     LAC      4.20       3.50       7.70      
222    Guillermo Diaz       LAC      14.00      2.00       16.00     
223    Alvin Williams       LAC      3.00       0.00       3.00      
224    Kobe Bryant          LAL      18.85      12.75      31.60     
225    Lamar Odom           LAL      19.82      13.96      33.78     
226    Pau Gasol            LAL      13.94      13.03      26.97     
227    Derek Fisher         LAL      16.79      13.72      30.52     
228    Maurice Evans        LAL      14.86      13.18      28.04     
229    Luke Walton          LAL      18.46      13.25      31.71     
230    Jordan Farmar        LAL      11.88      7.98       19.86     
231    Ronny Turiaf         LAL      13.18      10.45      23.62     
232    Andrew Bynum         LAL      6.92       6.11       13.03     
233    Sasha Vujacic        LAL      9.75       10.70      20.45     
234    Vladimir Radmanovic  LAL      4.23       3.72       7.95      
235    Trevor Ariza         LAL      5.36       5.76       11.12     
236    Kwame Brown          LAL      17.45      22.15      39.60     
237    Javaris Crittenton   LAL      10.45      10.12      20.57     
238    Shammond Williams    LAL      6.63       6.87       13.50     
239    Chris Mihm           LAL      5.69       3.95       9.64      
240    Aaron McKie          LAL      2.75       2.77       5.52      
241    Coby Karl            LAL      6.67       5.20       11.87     
242    Rudy Gay             MEM      9.63       8.63       18.26     
243    Mike Miller          MEM      15.15      11.31      26.46     
244    Hakim Warrick        MEM      12.04      11.57      23.61     
245    Darko Milicic        MEM      10.08      7.76       17.85     
246    Kyle Lowry           MEM      15.27      12.11      27.38     
247    Damon Stoudamire     MEM      10.97      8.66       19.64     
248    Juan Carlos Navarro  MEM      15.14      11.59      26.73     
249    Mike Conley          MEM      20.84      17.86      38.70     
250    Tarence Kinsey       MEM      3.14       2.67       5.81      
251    Lawrence Roberts     MEM      12.77      12.31      25.08     
252    Brian Cardinal       MEM      9.61       5.34       14.95     
253    Casey Jacobsen       MEM      10.55      9.70       20.25     
254    Andre Brown          MEM      1.18       2.95       4.13      
255    Junior Harrington    MEM      10.41      10.50      20.91     
256    Ricky Davis          MIA      12.60      11.24      23.85     
257    Shawn Marion         MIA      8.63       7.48       16.11     
258    Udonis Haslem        MIA      5.91       3.05       8.96      
259    Dwyane Wade          MIA      15.03      10.82      25.85     
260    Jason Williams       MIA      18.14      13.20      31.34     
261    Shaquille O'Neal     MIA      8.25       6.75       15.00     
262    Dorell Wright        MIA      11.92      9.41       21.33     
263    Alonzo Mourning      MIA      5.51       2.76       8.27      
264    Chris Quinn          MIA      8.68       7.47       16.15     
265    Gary Payton          MIA      16.51      9.30       25.81     
266    Daequan Cook         MIA      9.91       7.39       17.30     
267    Alexander Johnson    MIA      3.25       2.48       5.72      
268    Marcus Banks         MIA      14.03      13.61      27.63     
269    Earl Barron          MIA      14.55      10.66      25.21     
270    Joel Anthony         MIA      11.79      9.01       20.80     
271    Luke Jackson         MIA      11.96      13.39      25.35     
272    Kasib Powell         MIA      13.45      7.92       21.38     
273    Anfernee Hardaway    MIA      4.77       3.62       8.38      
