Index  Player               Team     Appearances
434    Shareef Abdur-Rahim  SAC      941       
435    Kenny Thomas         SAC      728       
436    Corliss Williamson   SAC      722       
437    Quincy Douby         SAC      654       
438    Ronnie Price         SAC      600       
439    Spencer Hawes        SAC      489       
440    Justin Williams      SAC      224       
441    Maurice Taylor       SAC      44        
442    Darryl Watkins       SAC      36        
443    Vitaly Potapenko     SAC      4         
444    Tim Duncan           SAS      2425      
445    Bruce Bowen          SAS      2194      
446    Manu Ginobili        SAS      2189      
447    Tony Parker          SAS      2151      
448    Michael Finley       SAS      1943      
449    Ime Udoka            SAS      1561      
450    Fabricio Oberto      SAS      1410      
451    Kurt Thomas          SAS      1272      
452    Brent Barry          SAS      1112      
453    Jacque Vaughn        SAS      975       
454    Robert Horry         SAS      921       
455    Matt Bonner          SAS      742       
456    Bobby Jones          SAS      417       
457    DerMarr Johnson      SAS      221       
458    Darius Washington    SAS      73        
459    James White          SAS      58        
460    Eric Williams        SAS      51        
461    Jackie Butler        SAS      36        
462    Ian Mahinmi          SAS      9         
463    Keith Langford       SAS      4         
464    Nick Collison        SEA      2088      
465    Earl Watson          SEA      1970      
466    Damien Wilkins       SEA      1842      
467    Chris Wilcox         SEA      1818      
468    Delonte West         SEA      1732      
469    Luke Ridnour         SEA      1546      
470    Johan Petro          SEA      1360      
471    Kevin Durant         SEA      1162      
472    Francisco Elson      SEA      1036      
473    Jeff Green           SEA      971       
474    Mickael Gelabale     SEA      832       
475    Adrian Griffin       SEA      464       
476    Ira Newble           SEA      387       
477    Mike Wilks           SEA      322       
478    Mouhamed Sene        SEA      94        
479    Danny Fortson        SEA      81        
480    Robert Swift         SEA      44        
481    Andreas Glyniadakis  SEA      37        
482    Desmon Farmer        SEA      16        
483    Randy Livingston     SEA      14        
484    Chris Bosh           TOR      2082      
485    Anthony Parker       TOR      2009      
486    Jose Calderon        TOR      1841      
487    Carlos Delfino       TOR      1683      
488    Andrea Bargnani      TOR      1620      
489    Jason Kapono         TOR      1585      
490    T.J. Ford            TOR      1421      
491    Rasho Nesterovic     TOR      1247      
492    Jorge Garbajosa      TOR      851       
493    Kris Humphries       TOR      827       
494    Joey Graham          TOR      813       
495    Jamario Moon         TOR      807       
496    Darrick Martin       TOR      182       
497    P.J. Tucker          TOR      43        
498    Uros Slokar          TOR      30        
499    Pape Sow             TOR      12        
500    Deron Williams       UTA      2490      
501    Carlos Boozer        UTA      2232      
502    Kyle Korver          UTA      2139      
503    Mehmet Okur          UTA      2028      
504    Matt Harpring        UTA      1831      
505    Paul Millsap         UTA      1727      
506    Andrei Kirilenko     UTA      1638      
507    Ronnie Brewer        UTA      1129      
508    Jarron Collins       UTA      847       
509    Jason Hart           UTA      695       
510    C.J. Miles           UTA      468       
511    Dee Brown            UTA      246       
512    Rafael Araujo        UTA      128       
513    Kyrylo Fesenko       UTA      41        
514    Morris Almond        UTA      18        
515    Roger Powell         UTA      7         
516    Antawn Jamison       WAS      2294      
517    Caron Butler         WAS      1936      
518    DeShawn Stevenson    WAS      1853      
519    Antonio Daniels      WAS      1734      
520    Brendan Haywood      WAS      1484      
521    Gilbert Arenas       WAS      1406      
522    Darius Songaila      WAS      1159      
523    Roger Mason          WAS      1101      
524    Andray Blatche       WAS      1095      
525    Nick Young           WAS      582       
526    Etan Thomas          WAS      536       
527    Dominic McGuire      WAS      333       
528    Donell Taylor        WAS      192       
529    Oleksiy Pecherov     WAS      156       
530    James Lang           WAS      31        
531    Mike Hall            WAS      6         
532    Chris Andersen       N/A      20        
533    Thomas Gardner       N/A      20        
534    Kosta Perovic        N/A      18        
535    Cheikh Samb          N/A      15        
536    Renaldo Major        N/A      14        
537    Chris McCray         N/A      5         
