game,season,home_team,away_team,starting_min,end_min,home_0,home_1,home_2,home_3,home_4,away_0,away_1,away_2,away_3,away_4,fga_home,fta_home,fgm_home,fga_2_home,fgm_2_home,fga_3_home,fgm_3_home,ast_home,blk_home,pf_home,reb_home,dreb_home,oreb_home,to_home,pts_home,pct_home,pct_2_home,pct_3_home,fga_visitor,fta_visitor,fgm_visitor,fga_2_visitor,fgm_2_visitor,fga_3_visitor,fgm_3_visitor,ast_visitor,blk_visitor,pf_visitor,reb_visitor,dreb_visitor,oreb_visitor,to_visitor,pts_visitor,pct_visitor,pct_2_visitor,pct_3_visitor,outcome
200702100HOU,2007,HOU,CHA,35,35,Chuck Hayes,Dikembe Mutombo,Luther Head,Rafer Alston,Tracy McGrady,Adam Morrison,Brevin Knight,Emeka Okafor,Melvin Ely,Walter Herrmann,2,0,1,1,1,1,0,0,0,0,1,1,0,0,2,0.5,1.0,0.0,2,2,1,1,0,1,1,1,0,1,1,1,0,0,3,0.5,0.0,1.0,-1
200702100HOU,2007,HOU,CHA,36,36,Chuck Hayes,Juwan Howard,Luther Head,Rafer Alston,Tracy McGrady,Adam Morrison,Brevin Knight,Emeka Okafor,Melvin Ely,Walter Herrmann,2,0,1,2,1,0,0,1,0,0,0,0,0,0,2,0.5,0.5,0.0,1,0,0,1,0,0,0,0,0,0,2,1,1,1,0,0.0,0.0,0.0,1
200702100HOU,2007,HOU,CHA,37,39,Chuck Hayes,Kirk Snyder,Luther Head,Rafer Alston,Shane Battier,Adam Morrison,Brevin Knight,Melvin Ely,Primoz Brezec,Walter Herrmann,6,0,1,4,1,2,0,0,1,0,4,4,0,1,2,0.16666666666666666,0.25,0.0,7,0,2,7,2,0,0,1,1,1,6,5,1,2,4,0.2857142857142857,0.2857142857142857,0.0,-1
200702100HOU,2007,HOU,CHA,40,42,Dikembe Mutombo,Kirk Snyder,Luther Head,Rafer Alston,Shane Battier,Adam Morrison,Brevin Knight,Emeka Okafor,Melvin Ely,Walter Herrmann,7,1,4,6,4,1,0,2,0,0,2,1,1,1,8,0.5714285714285714,0.6666666666666666,0.0,3,0,2,3,2,0,0,1,0,1,3,3,0,3,4,0.6666666666666666,0.6666666666666666,0.0,1
200702100HOU,2007,HOU,CHA,43,43,Dikembe Mutombo,Juwan Howard,Kirk Snyder,Luther Head,Rafer Alston,Emeka Okafor,Jeff McInnis,Raymond Felton,Ryan Hollins,Walter Herrmann,2,0,1,2,1,0,0,1,0,1,1,1,0,0,2,0.5,0.5,0.0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0.0,0.0,0.0,1
200702100HOU,2007,HOU,CHA,44,45,Dikembe Mutombo,Juwan Howard,Kirk Snyder,Luther Head,Rafer Alston,Jake Voskuhl,Jeff McInnis,Matt Carroll,Ryan Hollins,Walter Herrmann,4,0,3,2,1,2,2,3,1,0,0,0,0,0,8,0.75,0.5,1.0,2,0,2,2,2,0,0,2,0,1,1,1,0,2,4,1.0,1.0,0.0,1
200702100HOU,2007,HOU,CHA,46,47,Chuck Hayes,John Lucas III,Kirk Snyder,Steve Novak,Vassilis Spanoulis,Jake Voskuhl,Jeff McInnis,Matt Carroll,Ryan Hollins,Walter Herrmann,2,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0.0,0.0,0.0,4,0,2,4,2,0,0,1,0,1,3,3,0,0,4,0.5,0.5,0.0,-1
200702210HOU,2007,HOU,MIA,0,5,Dikembe Mutombo,Juwan Howard,Rafer Alston,Shane Battier,Tracy McGrady,Dwyane Wade,Gary Payton,Jason Kapono,Shaquille O'Neal,Udonis Haslem,11,2,8,8,5,3,3,5,0,0,7,6,1,0,19,0.7272727272727273,0.625,1.0,9,0,4,9,4,0,0,1,0,0,3,2,1,0,8,0.4444444444444444,0.4444444444444444,0.0,1
200702210HOU,2007,HOU,MIA,6,7,Dikembe Mutombo,Juwan Howard,Luther Head,Rafer Alston,Shane Battier,Dwyane Wade,Gary Payton,Jason Kapono,Shaquille O'Neal,Udonis Haslem,4,0,1,3,1,1,0,1,0,0,1,1,0,0,2,0.25,0.3333333333333333,0.0,0,2,0,0,0,0,0,0,0,0,4,3,1,1,0,0.0,0.0,0.0,1
200702210HOU,2007,HOU,MIA,8,9,Dikembe Mutombo,Juwan Howard,Luther Head,Rafer Alston,Shane Battier,Dwyane Wade,Jason Kapono,Jason Williams,Shaquille O'Neal,Udonis Haslem,5,0,2,4,2,1,0,2,0,1,5,4,1,0,4,0.4,0.5,0.0,5,0,0,5,0,0,0,0,0,2,3,2,1,0,0,0.0,0.0,0.0,1
