Index  Player               Team     PTS_Home   PTS_Away   Total PTS 
203    Mike Miller          MEM      13.95      10.17      24.12     
204    Chucky Atkins        MEM      9.14       5.45       14.59     
205    Hakim Warrick        MEM      11.91      11.25      23.16     
206    Rudy Gay             MEM      9.02       8.13       17.15     
207    Pau Gasol            MEM      13.64      12.45      26.09     
208    Dahntay Jones        MEM      12.54      8.10       20.64     
209    Damon Stoudamire     MEM      11.08      8.33       19.41     
210    Stromile Swift       MEM      6.04       5.39       11.43     
211    Lawrence Roberts     MEM      12.77      12.31      25.08     
212    Tarence Kinsey       MEM      3.24       2.65       5.89      
213    Alexander Johnson    MEM      3.73       2.59       6.32      
214    Junior Harrington    MEM      10.41      10.50      20.91     
215    Brian Cardinal       MEM      5.68       3.46       9.15      
216    Kyle Lowry           MEM      10.71      7.79       18.50     
217    Udonis Haslem        MIA      6.02       3.05       9.07      
218    James Posey          MIA      13.45      12.57      26.02     
219    Antoine Walker       MIA      5.90       4.54       10.44     
220    Dwyane Wade          MIA      13.91      10.00      23.91     
221    Jason Kapono         MIA      13.18      10.72      23.90     
222    Jason Williams       MIA      10.38      8.29       18.67     
223    Gary Payton          MIA      16.51      9.30       25.81     
224    Alonzo Mourning      MIA      3.51       2.88       6.39      
225    Eddie Jones          MIA      13.65      10.51      24.16     
226    Dorell Wright        MIA      10.40      8.28       18.68     
227    Shaquille O'Neal     MIA      5.87       4.78       10.65     
228    Michael Doleac       MIA      6.12       4.60       10.72     
229    Chris Quinn          MIA      8.25       7.28       15.53     
230    Earl Barron          MIA      9.79       7.44       17.23     
231    Robert Hite          MIA      5.50       6.03       11.53     
232    Wayne Simien         MIA      2.20       2.36       4.56      
233    Charlie Bell         MIL      12.35      10.76      23.10     
234    Ruben Patterson      MIL      7.03       7.18       14.21     
235    Mo Williams          MIL      11.98      11.96      23.94     
236    Andrew Bogut         MIL      4.20       3.70       7.89      
237    Michael Redd         MIL      16.45      15.00      31.45     
238    Brian Skinner        MIL      9.08       7.02       16.10     
239    Ersan Ilyasova       MIL      12.55      11.48      24.03     
240    Charlie Villanueva   MIL      10.94      10.06      21.00     
241    Dan Gadzuric         MIL      9.18       9.35       18.53     
242    David Noel           MIL      12.68      8.53       21.21     
243    Lynn Greer           MIL      16.09      5.63       21.72     
244    Jared Reiner         MIL      7.69       6.70       14.39     
245    Damir Markota        MIL      6.54       8.10       14.64     
246    Kevin Garnett        MIN      14.13      9.19       23.32     
247    Ricky Davis          MIN      9.30       9.89       19.19     
248    Mark Blount          MIN      10.39      8.73       19.12     
249    Randy Foye           MIN      13.13      14.53      27.66     
250    Trenton Hassell      MIN      6.23       6.78       13.01     
251    Craig Smith          MIN      5.45       5.46       10.90     
252    Mike James           MIN      9.50       8.76       18.26     
253    Marko Jaric          MIN      8.81       8.98       17.78     
254    Rashad McCants       MIN      8.80       10.54      19.34     
255    Mark Madsen          MIN      5.12       4.58       9.70      
256    Troy Hudson          MIN      2.80       3.31       6.11      
257    Justin Reed          MIN      7.42       9.45       16.88     
258    Bracey Wright        MIN      2.49       2.60       5.09      
259    Eddie Griffin        MIN      4.95       4.57       9.53      
260    Vince Carter         NJN      0.00       3.42       3.42      
261    Jason Kidd           NJN      0.00       13.45      13.45     
262    Mikki Moore          NJN      0.00       12.66      12.66     
263    Richard Jefferson    NJN      0.00       5.69       5.69      
264    Bostjan Nachbar      NJN      0.00       5.01       5.01      
265    Marcus Williams      NJN      0.00       11.33      11.33     
266    Jason Collins        NJN      0.00       14.27      14.27     
267    Clifford Robinson    NJN      0.00       8.33       8.33      
268    Antoine Wright       NJN      0.00       3.12       3.12      
269    Eddie House          NJN      0.00       11.71      11.71     
270    Josh Boone           NJN      0.00       13.58      13.58     
271    Nenad Krstic         NJN      0.00       9.30       9.30      
272    Hassan Adams         NJN      0.00       14.04      14.04     
273    Mile Ilic            NJN      0.00       0.00       0.00      
274    Desmond Mason        NOK      0.00       15.58      15.58     
275    Tyson Chandler       NOK      0.00       3.35       3.35      
276    Rasual Butler        NOK      0.00       5.90       5.90      
277    Chris Paul           NOK      0.00       9.73       9.73      
278    Jannero Pargo        NOK      0.00       14.54      14.54     
279    David West           NOK      0.00       14.07      14.07     
280    Bobby Jackson        NOK      0.00       2.72       2.72      
281    Devin Brown          NOK      0.00       14.45      14.45     
282    Marc Jackson         NOK      0.00       10.29      10.29     
283    Linton Johnson       NOK      0.00       11.02      11.02     
284    Hilton Armstrong     NOK      0.00       16.83      16.83     
285    Cedric Simmons       NOK      0.00       7.63       7.63      
286    Peja Stojakovic      NOK      0.00       10.79      10.79     
287    Brandon Bass         NOK      0.00       5.88       5.88      
288    Marcus Vinicius      NOK      0.00       7.39       7.39      
289    Eddy Curry           NYK      10.54      7.76       18.29     
290    Stephon Marbury      NYK      7.34       6.83       14.17     
291    Jamal Crawford       NYK      12.35      10.04      22.39     
292    David Lee            NYK      6.65       5.84       12.48     
293    Channing Frye        NYK      3.70       2.82       6.52      
294    Nate Robinson        NYK      11.70      9.06       20.76     
295    Quentin Richardson   NYK      15.25      16.33      31.58     
296    Renaldo Balkman      NYK      7.59       7.86       15.45     
297    Jared Jeffries       NYK      13.30      15.82      29.12     
298    Steve Francis        NYK      3.46       3.00       6.46      
299    Malik Rose           NYK      8.13       10.75      18.88     
300    Mardy Collins        NYK      10.72      8.09       18.81     
301    Jerome James         NYK      11.67      10.29      21.96     
302    Kelvin Cato          NYK      8.15       6.79       14.94     
303    Randolph Morris      NYK      2.36       4.33       6.69      
304    Dwight Howard        ORL      10.20      8.81       19.02     
